pdb	chain	pLDDT_before	pLDDT_after	tm_score_before	tm_score_after	lddt_before	lddt_after
9ip7	A	80.79		0.52156		0.7271337669611316	
9ipb	A	80.49		0.53315		0.8106914184885826	
8r4n	N	84.53		0.92873		0.9235392207047034	
8vte	E	89.81		0.94953		0.9206228344152355	
8zeu	C	40.76	57.18	0.38622	0.28363	0.3499019686502133	0.3107850656063198
8zme	A	79.89		0.76704		0.7066383888597905	
8zw0	A	81.79		0.88335		0.8018543099442711	
9c2k	R						
9c75	R						
9cb1	G	51.64		0.638		0.5496596970270761	
9e7d	R						
9e7e	R						
9e7g	R						
9isf	A	51.75	58.99	0.65143	0.62197	0.5461487759930963	0.4945483370418378
9ish	C	58.9	60.91	0.67561	0.67604	0.5643249025139143	0.5589937696986205
9jmd	A	81.05		0.79886		0.8113015742134497	
9mic	C	31.66	34.28	0.31136	0.44209	0.2787451856041049	0.3305005914061156
9mid	C	31.13	33.09	0.34957	0.53591	0.27006111255015963	0.39571517788458127
9mif	C	31.66	32.18	0.31099	0.41247	0.28209096147388857	0.31416255102945045
9mj3	C	31.13	33.49	0.3501	0.36533	0.2735235565782602	0.30897856075691743
9msy	A	25.61		0.2114		0.23862612356812668	
9nk9	B	69.24	73.22	0.27146	0.31406	0.3784722222222222	0.5777777777777777
9mih	A	25.49		0.20782		0.20503291178583935	
8s2t	A	80.36		0.67298		0.6969896628240377	
8yaf	A	95.72		0.9913		0.9737556921577294	
9btl	A	25.57		0.23594		0.21650633285208298	
9cu5	A	24.91		0.23016		0.22682201638753197	
9cv7	B	25.98		0.22446		0.23384594731910338	
9ehl	A	25.2		0.20647		0.2145661185073089	
9ehm	B	27.83		0.20018		0.21713847494353203	
9f90	H	92.66		0.93313		0.9053043447808511	
9f91	I	84.5		0.96838		0.9569122489480925	
9fcm	E	70.73	85.86	0.80674	0.79982	0.9430038327607284	0.8907724577301784
9fkn	A	93.29		0.9286		0.8336346827876513	
9fyr	A	85.78		0.87894		0.8672419562421095	
9g6x	A	90.91		0.9592		0.900028048931928	
9gf8	A	93.06		0.91792		0.8062597193615629	
9gry	A	84.65		0.96787		0.907698417495536	
9gs3	B	84.5		0.91813		0.8475048986502921	
9gs5	A	83.95		0.785		0.796834679257987	
9gs7	A	84.06		0.74276		0.7834125123972624	
9gsl	A	91.43		0.92401		0.8305780071104135	
9i20	A	84.46		0.96318		0.9136116080952719	
9mfg	D	87.4		0.92876		0.9147024174376587	
9mi0	A	25.17		0.22231		0.21531795850155747	
9mib	F	49.47	54.3	0.28266	0.36616	0.47899409973270424	0.47243374101353447
8zh7	A	84.58		0.96612		0.8507661784869164	
9c2h	D	35.83	42.89	0.30636	0.23625	0.4423314093828732	0.39417232225740656
9fns	A	37.33	48.15	0.41845	0.32229	0.3999258792329573	0.334970284448972
9fnt	A	38.01	47.6	0.44924	0.51413	0.394904350631994	0.38852104475303284
9fq3	B	33.82	41.96	0.33749	0.38385	0.32430880441719984	0.3747133637676677
9ggp	A	89.98		0.97579		0.9608603585088238	
9gu0	L	79.66		0.89959		0.9127722370656023	
9gu1	L	82.09		0.94866		0.9075773753555942	
9gu2	L	81.04		0.92002		0.8586131682936048	
9gu3	L	85.04		0.93425		0.8869039804292838	
9nox	B	82.85		0.80049		0.8350422602154127	
9o38	B	82.85		0.80049		0.8349897392070094	
9qub	A	90.49		0.89819		0.8699773701386283	
9quw	B	90.49		0.9013		0.8786857512712438	
9r2e	P	77.06		0.89373		0.8655724594482989	
8zca	F	90.38		0.98485		0.9755873274240445	
9b7g	A	50.07	51.79	0.57305	0.51327	0.5009642314441818	0.4820908735397688
9bnk	G	25.17		0.24087		0.21875076684390676	
9bnl	A	26.01		0.21747		0.20594405553310638	
9c0u	B	52.78	62.23	0.61148	0.6471	0.5459779574569781	0.5859863274549724
9c0x	B	52.3	60.28	0.63138	0.69199	0.5789477423526788	0.6476580885787507
9cp5	A	93.54		0.92217		0.8292584351818161	
9d0a	B	89.79		0.98798		0.9438207583535273	
9d4z	B	89.79		0.98922		0.9509654625581765	
9gix	A	87.05		0.86086		0.9371844918249072	
9cb5	B	85.48		0.59396		0.8943400562232194	
9d8y	A	26.13	29.05	0.25282	0.30846	0.23391604023885137	0.2373320177061042
9d98	A	26.13	28.96	0.26098	0.28824	0.23514142312800113	0.23655004154746698
8z8l	B	86.65		0.94147		0.8704876275430885	
8zbi	B	56.31	66.43	0.3675	0.2669	0.49171490800515655	0.49302163543251726
8zbj	C	88.56		0.0202		0.898866159727571	
8zym	A	53.6		0.53425		0.5313005712756873	
9d90	D	46.1	59.48	0.26367	0.27385	0.5214242680348273	0.5077514100096451
9ego	A	76.69		0.75123		0.7382810821714721	
9ixv	A	24.68	28.05	0.27282	0.28382	0.2196601941260351	0.2145746702285102
9f02	A	52.55	62.64	0.31671	0.32703	0.45761305165473337	0.4895207997486398
9jh5	A	79.69		0.27662		0.7686121182320317	
8z2e	E	26.79	34.53	0.24968	0.3227	0.2713350434510646	0.28720739058288713
8z3m	A	79.48		0.79764		0.7886539528215374	
8z3q	A	77.39		0.79034		0.7758647920958	
8z65	A	77.39		0.7985		0.8094328851919099	
8z68	A	76.74		0.80578		0.8202243380431127	
8zce	A	85.85		0.76194		0.7417378107956097	
8zcf	A	85.85		0.75726		0.7388457833439858	
9dpe	A	90.1		0.98236		0.9341628702767172	
9hzj	B	91.43		0.91403		0.9124157907083995	
9hzk	B	90.89		0.93562		0.9444363634191597	
9jfw	A	85.85		0.7611		0.7454231987065371	
9jfx	A	80.65		0.7758		0.7696513820800482	
9jfz	A	80.65		0.78058		0.7839343650248908	
9jhp	A	77.24		0.76543		0.7435325800387418	
9kef	A	33.79	48.79	0.2855	0.3165	0.35952556251479334	0.48244703911739695
9kep	B	39.6	51.75	0.33556	0.53612	0.34776407117710484	0.41925289810822186
9kfb	B	43.64	48.42	0.31943	0.30741	0.39992715964932435	0.39369333529790235
9lgm	A	76.14		0.80052		0.818984295696626	
9m7v	A	63.25	63.44	0.63815	0.63783	0.6581499587760443	0.6492920108054443
8ult	B	53.87	58.79	0.32988	0.37115	0.47683373636460846	0.4751881100985503
8ulu	E	24.95		0.22037		0.2108972278435982	
8rtf	A	90.17		0.92656		0.914778867948564	
8rvr	A	90.17		0.92595		0.9108832012658887	
8ulr	E	25.43		0.24007		0.21173668379952035	
8z2v	A	84.33		0.88439		0.8172079361739234	
8z39	A	84.0		0.88603		0.8208318042965321	
8z3a	A	84.33		0.88811		0.8230347440626474	
8zyu	B	76.29		0.89151		0.8235918077635297	
9b6t	B	42.26	46.67	0.22306	0.21884	0.2971283626552677	0.2812044866439949
9b7p	A	27.89	31.78	0.23145	0.356	0.27722768962924293	0.32315366354842556
9blb	A	80.91		0.12763		0.7790691468798184	
9blc	A	78.71		0.11092		0.767917060475927	
9blw	A	78.71		0.82936		0.7897568727439448	
9btw	A	79.53		0.20964		0.7756213582654465	
9bue	A	78.71		0.82696		0.7582555376140793	
9cy1	A	84.18		0.78131		0.8142436759571202	
9cy3	A	85.07		0.78635		0.8013235017275727	
9cy4	A	85.6		0.7899		0.7948135630179469	
9dhy	C						
9evz	B	52.72	62.64	0.29376	0.26779	0.44689866780291765	0.44584916245100975
8tjr	D	56.65	67.46	0.34535	0.34775	0.48694085710194285	0.4842795001104815
8tjs	O	24.94		0.22005		0.20941339180782878	
8tnu	Z	53.24	64.98	0.33446	0.28713	0.5252989286614748	0.5008998106807095
8to7	E	25.54		0.21286		0.2201304892625912	
8top	A	25.56		0.22272		0.21736480575383188	
8tq1	A	25.3		0.21256		0.2119390028348003	
8vfx	C	80.5		0.55927		0.8936046255111256	
8we4	B	27.53	32.81	0.32724	0.33214	0.2634424747010956	0.26746056633032966
9b7b	A	86.48		0.93055		0.8851142753674296	
9cia	e	76.82		0.21717		0.8585610531435538	
9cmi	A	84.99		0.94643		0.8977621068014899	
7y6k	B	26.79	38.67	0.28436	0.3117	0.26718342563097897	0.31389938815355467
8qxc	H	89.76		0.89858		0.9345000259109857	
8xwv	A	78.0		0.13597		0.8114342761050425	
9crv	B	83.89		0.9193		0.892457919206985	
9fjk	A						
9dmj	A	80.92		0.89176		0.8907697495608597	
8yyw	C	88.74		0.89819		0.914967343009278	
8yyz	A	84.33		0.88948		0.8207455222153041	
9b6n	A	35.96		0.34833		0.36522582718957025	
9bof	B	28.64	35.44	0.29059	0.34324	0.24146923644062318	0.24987501626206166
9dao	A	86.24		0.97374		0.9023648384726967	
9dmk	A	80.92		0.89331		0.8900544657701684	
9dmq	C	80.98		0.90135		0.887785160891913	
9dms	A	80.92		0.89035		0.8893240624806577	
9dmt	C	80.98		0.8973		0.8837261515877579	
9dmv	E	78.52		0.87846		0.8761653593518824	
9ee8	B	88.56		0.23634		0.9154354534755387	
9ee9	B	88.56		0.23544		0.8949027935121394	
9eea	B	88.56		0.22208		0.8745428777902898	
9fjf	B	93.46		0.23412		0.7108436111273143	
9hml	B	80.67		0.20922		0.8027926764256101	
9jfy	A	85.2		0.30287		0.7817579806480273	
9jg0	R	87.2		0.90365		0.872742806480599	
9lyb	A	77.7		0.77979		0.7914738783770748	
9lyc	B	88.74		0.20767		0.9072623422225401	
9ua9	B	74.14		0.58475		0.7480978354056438	
9uaa	B	73.38		0.59321		0.7406395269695848	
8ywe	A	26.99	37.43	0.26935	0.24091	0.27705299749815293	0.26149662610362373
8zu9	E	37.67	71.63	0.39643	0.65069	0.4068818880761951	0.6414076433151219
8zua	F	40.33	78.99	0.50722	0.70262	0.4883538725564109	0.683910203383244
9ary	B	82.19		0.28179		0.765180999906622	
9as4	B	80.52		0.27691		0.7732060419359387	
9as8	B	79.28		0.29087		0.7624141889287749	
9b7r	A	30.29	34.79	0.2342	0.19926	0.32849044359223034	0.28018660077102936
9b7s	A	28.83	38.26	0.21855	0.16176	0.31764698396955293	0.2697826215245363
9e82	A	72.9	74.65	0.82889	0.88404	0.7350943259246979	0.7628137540657532
9fik	A	82.71		0.86352		0.8726219064374088	
9ixx	A	78.23		0.79702		0.783306035094277	
9izc	B	88.69		0.2285		0.9335821481290157	
9j8z	B	88.69		0.9035		0.9126379895102131	
9k6l	A	78.49		0.79302		0.7930497029533051	
9kpd	A	82.12		0.79695		0.8227641325545585	
9kpe	A	78.61		0.79085		0.7712281811263692	
9kpf	A	78.13		0.78846		0.7614182532292003	
9lbs	F	28.47	40.23	0.30331	0.32442	0.2896232505059081	0.2921891433336584
9lds	B	69.94	84.73	0.50218	0.60117	0.8626334776334776	0.9156755281755282
9lyo	B						
9lyp	B	27.1	35.15	0.23933	0.24234	0.27934109407300184	0.24008582397222797
9ms8	A						
8rew	A	76.22		0.67911		0.7186586547712119	
8zyf	A	27.03	32.93	0.27084	0.42886	0.23261205801196616	0.33927366342573406
9b0a	D	71.53	75.46	0.34077	0.32479	0.746610402125108	0.7396396801727685
9b13	A						
9ebn	A	78.1		0.78928		0.7747697090661639	
9ebo	A	83.73		0.80266		0.769256629608101	
9ebq	A	80.5		0.77847		0.755536906956959	
9emy	A	82.48		0.93558		0.8284249711697509	
9ds2	C	46.97	47.58	0.52972	0.50635	0.45554275617349443	0.4480168438937181
8uhn	D	84.03		0.55312		0.6	
8uhp	C	63.51	63.51	0.70208	0.70208	0.7083333333333333	0.7083333333333333
8uig	C	82.09		0.43835		0.7000000000000001	
8uih	D	77.61		0.52412		0.725	
8uit	C	82.09		0.43428		0.7000000000000001	
8uji	D	64.65	64.65	0.58041	0.58041	0.5416666666666666	0.5416666666666666
8uzp	M	88.64		0.94946		0.8767117409265749	
8veb	E	46.67		0.39734		0.4560097695875357	
8ved	A	46.67		0.3972		0.4526685016000614	
8vee	A	41.49		0.40079		0.39524801841176105	
8vef	A	43.93		0.40723		0.42501179416988466	
8vpf	A	28.09		0.21661		0.28547444744426287	
