id	length	pLDDT_A	model
A0A513Q9B8_1	1746	70.108	BASE
A0A513Q9B8_2	1150	67.832	BASE
A0A3Q9R7M5_1	1161	85.257	BASE
A0A3Q9R7M5_2	580	84.362	BASE
A0A7S5UZU3	1675	56.081	BASE
A0A7S5T4G4	150	58.324	BASE
A0A8J9W5Z0	2330	73.601	BASE
A0A6J5LA39	11489	53.762	BASE
J9PUL9	1680	56.782	BASE
A0A7D0GRX1	6739	71.178	BASE
A0A0P0YNY8	1075	57.965	BASE
A0A1Q2U2N8	735	69.196	BASE
C6GZ77	1205	68.957	BASE
A0A8S5QFS8	297	64.007	BASE
A0A5A4RKY0	5439	74.932	BASE
A0A9E6YZA2	683	75.942	BASE
Q8JKS5	5941	45.968	BASE
Q5ULM4	4537	80.064	BASE
A0A291FFT2	149	79.645	BASE
A0A516LNX3	292	41.804	BASE
A7IW45	1567	53.541	BASE
A0A218MMU5	1836	53.346	BASE
A0A516KXK0	597	74.64	BASE
Q196X0	12185	84.21	BASE
A0A7D7EY63	292	81.311	BASE
A0A191VYQ5	2553	50.034	BASE
A0A510E7P0	488	63.96	BASE
A0A3G5AB11	7669	85.103	BASE
A0A7D4XK96	140	78.107	BASE
A0A0A1IU96	254	55.993	BASE
A0A1X7C005	1772	82.559	BASE
A0A1L7DQ56	128	68.951	BASE
A0A516L5R6	6757	85.787	BASE
A0A516L671	592	51.999	BASE
A0A3Q8HD44	679	73.206	BASE
A0A976U9V3	1630	78.614	BASE
A0A346BLP3	3122	73.153	BASE
A0A6J5LR05	1229	58.308	BASE
A0A2P1GME7	3845	59.939	BASE
A0A8K1XH08	252	43.798	BASE
B9DF75	857	84.362	BASE
A0A0B5J8H7	1339	70.22	BASE
A0A0C5B961	567	48.689	BASE
K7PCK5	402	43.177	BASE
A0A2Z4QKU6	41	28.68	BASE
A0A5J6VLM5	65	28.64	BASE
F4YTU6	148	30.118	BASE
D1GFB8	104	52.962	BASE
A0A481Z8C4	767	64.861	BASE
A0A3G4ZP30	343	60.527	BASE
A0A514D5E1	74	80.682	BASE
F2Y2D4	936	65.564	BASE
K4JVV3	4158	77.259	BASE
S4TQD4	2261	80.554	BASE
A0A2P1GNR2	49	34.046	BASE
A0A516KYU9	204	52.399	BASE
A0A6J5SZT4	6347	55.01	BASE
A0A481Z7G0	615	79.132	BASE
A0A811A8X6	3563	80.227	BASE
P29165	798	76.051	BASE
A0A6M3YKB1	84	54.085	BASE
A0A3G5A420	426	68.475	BASE
A0A481YV45	9984	85.572	BASE
A0A0X8E9J6	5551	74.757	BASE
A0A1L3KHG4	524	56.235	BASE
A0A6J5SS06	2881	56.543	BASE
A0A8S5Q538	1613	74.308	BASE
G8DDN7	4534	79.24	BASE
A0A5P9JNW0	89	72.441	BASE
A0A516MIP8	41	50.345	BASE
A0A3G2KHY2	509	74.827	BASE
A0A8A6RH57	50	37.834	BASE
A0A1B1IX43	12079	76.396	BASE
A0A411HBA6	2974	35.898	BASE
A0A8D9CD05	781	86.083	BASE
A0A8A4XE35	2653	80.023	BASE
A0A7M1RZ74	771	55.317	BASE
A0A516LQW3	81	75.693	BASE
A0A0P0K7S8	194	55.965	BASE
A0A126SQ27	564	80.82	BASE
A0A6J5QRE4	3927	86.173	BASE
A0A516MDT1	1343	66.896	BASE
V9M0D4	970	65.116	BASE
A0A1L3KMK8	44	43.244	BASE
H2EDS0	6532	85.866	BASE
A0A7T7DH46	6804	85.542	BASE
E5E4L4	2640	71.466	BASE
A0A8K1XGY1	89	79.044	BASE
S4VUV0	1503	42.82	BASE
Q4U3V0	2643	79.619	BASE
A0A218MMX7	6853	84.948	BASE
A0A0P0KG88	31	38.639	BASE
A0A0H5AWE4	1718	58.858	BASE
A0A8S5MQB2	1422	81.143	BASE
Q4A3A1	10413	85.301	BASE
A0A6J5PIE9	1604	48.532	BASE
A0A5K7Y3A8	1919	66.238	BASE
A0A0S1TPT1	117	54.976	BASE
A0A6J5LFF8	37	44.163	BASE
A0A1E1GDN9	320	41.49	BASE
A0A513QA09	583	47.587	BASE
H6WFX6	503	68.64	BASE
A0A1P8NRI0	1982	88.256	BASE
A0A5K0U880	103	51.137	BASE
I3ULX2	2505	71.933	BASE
A0A8G0Q9R9	45	65.698	BASE
Q5GAH2	1463	60.625	BASE
A0A6G5YMX6	281	48.261	BASE
A0A6J7WKU6	6368	84.85	BASE
A0A7M3UNT9	2156	54.91	BASE
Q00273	89	83.596	BASE
A0A7H0XAF6	36	33.718	BASE
A0A873WGP8	2557	52.837	BASE
A0A3G4ZSK7	1480	76.059	BASE
A0A516LA76	1444	87.06	BASE
A0A7G9IRK7	859	73.961	BASE
A0A648ENB3	243	67.199	BASE
A0A0K1Y7K5	1073	35.815	BASE
P0C9A3	4710	80.583	BASE
A0A5B8GQ53	279	51.691	BASE
Q64895	19687	70.741	BASE
A0A6J5Q6G8	4194	73.605	BASE
A0A823AB04	40	34.959	BASE
A0A7U3RS46	200	85.5	BASE
A0A3T1CWL0	11	32.628	BASE
K7NVX3	89	71.471	BASE
A0A649VH54	3997	53.022	BASE
A0A2L0E6R6	38	79.937	BASE
A0A385IRZ5	11644	45.162	BASE
A0A3G3BYQ7	4528	74.049	BASE
A0A218MN75	1880	66.465	BASE
A0A6J5Q3V5	2197	81.894	BASE
Q8V5Q0	184	79.362	BASE
A0A6J5MH03	3706	83.02	BASE
A0A6J7WUU1	1418	69.223	BASE
A0A1L7DPS8	737	66.629	BASE
A0A8S5VP99	34	63.855	BASE
A0A7G9V4S6	943	77.08	BASE
F6LY14	1146	61.646	BASE
A0A7M3UP16	1231	69.668	BASE
A0A218MMA8	1542	70.554	BASE
A0A240EWW2	54	49.918	BASE
A0A893A868	99	72.01	BASE
A0A6J5KUA7	2484	77.309	BASE
A0A9E7SF29	325	65.834	BASE
A0A1L3KH36	323	73.417	BASE
A0A8A5LLP2	3357	56.544	BASE
A0A8S5R6K1	2051	57.679	BASE
A0A181ZH53	255	72.829	BASE
Q7TA21	1570	65.939	BASE
A0A1D7SJQ2	76	47.514	BASE
Q2UVX3	434	63.765	BASE
A0A481V6T9	3543	58.473	BASE
A0A516M4V0	2534	39.208	BASE
I6ZXY3	254	37.381	BASE
A0A7T7GT98	554	81.536	BASE
A0A5B8IEP9	31	41.003	BASE
A0A6G5XXC8	698	47.545	BASE
A0A5K0U9G0	1142	68.901	BASE
W8VLG7	3834	57.65	BASE
A0A7D3V595	34	48.957	BASE
A0A8S5QL36	100	49.762	BASE
A0A7G8ALU3	1716	78.913	BASE
A0A7D5BRB5	59	36.282	BASE
A0A516M2Y9	1399	67.095	BASE
A0A8E6L093	20671	58.082	BASE
A0A223PZY8	6010	82.145	BASE
A0A3G8FEF3	1960	80.407	BASE
A0A8D9CFB7	357	85.405	BASE
A0A514TW83	102	56.425	BASE
A0A6J5QMD5	5733	56.497	BASE
M4PRN4	887	75.493	BASE
A0A6J5QS80	35	51.176	BASE
G9E5D7	414	85.119	BASE
A0A5C2ICW8	5100	86.337	BASE
A0A4Y5FFP3	155	43.075	BASE
A0A9E7P6S9	1874	69.964	BASE
A0A3G4ZZ95	610	78.194	BASE
A0A8E7FXJ2	1374	68.036	BASE
G8EWB8	140	64.807	BASE
A0A3G4ZZA3	41	60.149	BASE
I3ULX4	1043	85.326	BASE
A0A890ULG5	1795	77.677	BASE
B2L0T8	1549	68.019	BASE
A0A0E3HIB0	2097	54.006	BASE
A0A6J7WCX0	5178	46.415	BASE
P0C994	1285	86.218	BASE
E3T4Y7	99	49.381	BASE
A0A0F7GR69	117	52.199	BASE
A0A2Z4QKU5	556	85.848	BASE
A0A6J7WGB5	385	51.672	BASE
A0A4D5ZC38	7947	81.215	BASE
A0A7D7FA36	6965	66.3	BASE
A0A4Y6E8F0	161	79.493	BASE
A0A7T3R0R6	225	85.245	BASE
A0A0R6PJE2	3200	45.357	BASE
A0A173GBD0	7301	76.399	BASE
A0A1B1IUU7	253	71.272	BASE
A0A2I7RNL2	938	58.197	BASE
A0A8S5RGB8	774	77.624	BASE
A0A3G5AEI9	5651	86.588	BASE
M1HIA0	989	86.452	BASE
A0A516M2L4	3453	66.41	BASE
A0A1B2IG07	394	87.474	BASE
A0A3G5A974	316	75.903	BASE
A0A7D0H216	59	85.033	BASE
A0A7D6X6J3	1248	81.107	BASE
A0A126D3P5	72	36.052	BASE
A0A8S5MF76	293	57.764	BASE
A0A6J5N5S7	750	74.918	BASE
A0A1D7S689	463	56.767	BASE
A0A6J5NLL1	2535	85.487	BASE
A0A345BQ09	48	66.022	BASE
Q8JW07	286	66.812	BASE
A0A893A697	107	51.69	BASE
A0A3G4ZRP1	554	69.085	BASE
A0A6J5N2I4	526	58.163	BASE
A0A3S7SGC1	1382	59.915	BASE
A0A5H2X6P8	261	76.034	BASE
A0A8S5THI5	4572	55.955	BASE
A0A345AYB7	469	71.061	BASE
A0A6G6AG33	774	83.337	BASE
A0A401IPD4	657	51.639	BASE
A0A3G5A2R3	1574	61.161	BASE
A0A3G5AH75	237	54.403	BASE
A0A6J5NMQ0	6723	85.644	BASE
A0A514U2Y7	1848	76.436	BASE
A0A7D3QFL3	617	75.964	BASE
A0A8F3CIK6	1891	48.116	BASE
Q70AF2	712	71.499	BASE
A0A0K2FGC3	538	87.141	BASE
A0A0F7L3S2	88	33.209	BASE
A0A346BLI8	183	80.796	BASE
A0A1V0S9K1	682	80.174	BASE
M9MUG9	18698	71.044	BASE
A0A3Q8RVN6	524	85.374	BASE
A0A076FM45	4935	86.648	BASE
A0A6G8R698	3525	67.92	BASE
A0A1W6J6R5	179	69.242	BASE
A0A0E3G341	8447	70.162	BASE
A0A7G8LDQ9	14400	86.856	BASE
A0A481Z238	111	46.586	BASE
A0A5A4M1D1	328	87.196	BASE
A0A0E3I3P8	626	73.647	BASE
A0A9E7TBK2	995	82.481	BASE
A0A068CAS9	2957	81.021	BASE
A0A6J5S196	195	73.645	BASE
A0A514CYP6	371	85.086	BASE
A0A4Y5JUE0	619	43.613	BASE
A0A0B5A0F2	6014	48.276	BASE
A0A7D3UKL0	1326	80.797	BASE
A0A6M6DAZ9	35	69.126	BASE
E3T4V3	402	57.618	BASE
A0A2P9JZV2	49	75.489	BASE
A0A8S5SVD6	2813	74.624	BASE
K4JVS8	1010	86.153	BASE
A0A6G8RPQ7	215	70.986	BASE
A0A899IN83	2065	79.394	BASE
A0A6H0DI37	812	62.483	BASE
A0A514D5Q4	1182	74.787	BASE
A0A088C334	129	69.324	BASE
A0A0G2XZT5	437	77.438	BASE
A0A7D7FDU3	59	77.127	BASE
H8ZJ71	2376	61.937	BASE
A0A8S5UX08	117	69.705	BASE
S4S2E0	5833	58.308	BASE
A0A172QZW5	153	73.556	BASE
Q9YW29	81	67.622	BASE
A0A5B9N3T0	454	85.623	BASE
A0A6J5RKT4	84	58.078	BASE
A0A6J7WQ96	831	81.937	BASE
A0A481Z419	59	56.212	BASE
A0A222YUM0	436	59.467	BASE
A0A481Z5T5	111	72.361	BASE
A0A7H0XAG0	1348	71.634	BASE
A0A6J5MBX0	334	85.164	BASE
H7BVA3	33	25.11	BASE
U3GQ26	77	61.252	BASE
A0A3G4ZQ15	13061	85.809	BASE
A0A5K0U6V9	151	61.34	BASE
A0A1D8KFC6	867	85.103	BASE
A0A2I7S9P0	940	40.957	BASE
A0A8K1ZLQ2	125	69.051	BASE
M1HWH3	1539	59.518	BASE
A0A873WFP7	96	70.951	BASE
I6X7L1	1073	82.883	BASE
A0A6J7W986	6697	81.264	BASE
A0A8S5R1G9	5788	55.553	BASE
A0A976RUU8	41	61.794	BASE
A0A0P0IR10	57	84.542	BASE
A0A6G9RVC6	1305	80.777	BASE
A0A1L3IZT3	1041	86.851	BASE
A0A1S7IVC6	687	66.717	BASE
A9Y622	421	75.408	BASE
A0A8A4XE17	1601	39.021	BASE
A0A7S5QUT3	48	39.237	BASE
A0A7M3TYP3	285	55.278	BASE
D6PUU1	263	63.024	BASE
A0A516M230	1468	80.274	BASE
Q14W08	57	32.275	BASE
V9XSW3	97	80.01	BASE
A0A3G5AHQ0	340	79.366	BASE
A0A8S5NN26	389	79.913	BASE
A0A1V0SEI7	1044	45.997	BASE
Q9JMP0	88	54.176	BASE
A0A481ZDD4	1774	69.945	BASE
A0A6J7WMW9	1225	67.22	BASE
A0A3G4ZTW2	88	48.659	BASE
A0A2I2L4R1	230	85.571	BASE
A0A516M7F0	932	83.672	BASE
W8QRB7	1854	83.331	BASE
A0A3G8FU41	408	83.776	BASE
A0A482MIE7	96	55.628	BASE
A0A2R3U9A2	2175	81.288	BASE
A0A7D7IC61	2011	53.677	BASE
A0A6M9ZA22	364	72.026	BASE
A0A6J5MBQ5	2357	73.073	BASE
A0A481Z0V9	1524	78.745	BASE
A0A8S5R074	1866	74.396	BASE
A0A649Y9S5	139	63.001	BASE
A0A193PQ49	150	81.344	BASE
A0A2D1GDH0	2085	85.404	BASE
A0A2I7QXT3	827	85.562	BASE
A0A811A8Z5	3410	47.241	BASE
V9P399	2923	76.895	BASE
A0A514D5B9	42	34.264	BASE
A0A067XR43	5695	78.424	BASE
A0A1D8KK85	6105	73.907	BASE
A0A1L3KKI9	39	47.244	BASE
A0A2I7QSH9	232	56.407	BASE
A0A0F7L6G0	1511	83.888	BASE
A0A6J5QQ26	144	81.017	BASE
A0A6J5MEE0	122	40.343	BASE
A0A1B1IUG6	6966	76.444	BASE
G9L6E4	3490	88.461	BASE
A0A6G6ZQ41	123	63.327	BASE
A0A4P8W3V8	937	67.304	BASE
A0A6J7WEB4	1423	84.87	BASE
A0A219XWJ2	65	74.167	BASE
K0I2A8	59	46.493	BASE
UPI002067D4F3	671	85.81	BASE
A0A088C3M1	108	72.094	BASE
A0A8B6MGW5	667	78.305	BASE
A0A7D3UVL3	280	75.4	BASE
B6D647	131	85.135	BASE
Q6XM32	197	52.012	BASE
Q9PYX9	60	45.909	BASE
A0A6J5PVZ1	71	48.077	BASE
A0A6B9J5H3	7134	54.854	BASE
A0A5Q2W2U3	101	69.808	BASE
A0A6J5NHB6	389	45.439	BASE
A0A6J5LDA4	2086	68.864	BASE
A0A6B9KUB3	212	81.623	BASE
A0A1S5V1L6	17091	85.675	BASE
A0A1S6L1J5	277	76.592	BASE
A0A1V0SA04	85	70.0	BASE
Q2FAI8	316	73.641	BASE
A0A1L3KEW9	65	44.794	BASE
A0A516MLX0	2107	63.173	BASE
A0A6J5RTF1	3170	82.881	BASE
A0MNG8	80	59.567	BASE
G9J3I7	265	71.944	BASE
A0A6J5T9Y4	578	87.832	BASE
U5NRU9	84	67.476	BASE
U5Y8S6	1335	79.863	BASE
A0A0B5A5W1	7239	86.547	BASE
A0A6B7FBF0	333	83.355	BASE
A0A384UXN1	15088	65.095	BASE
A0A6J5LVS0	3398	84.103	BASE
A0A516LZQ1	3536	77.796	BASE
A0A2R8F5I2	178	66.898	BASE
A0A6J7XB56	2038	85.732	BASE
M1HRI8	839	74.544	BASE
A0A8S5VTU0	689	53.81	BASE
A0A2I7QW33	70	50.859	BASE
A0A5J6VIH8	518	37.116	BASE
A0A0B5JBC0	1755	49.546	BASE
UPI00200DE924	17745	86.851	BASE
G3GN29	406	85.521	BASE
A0A6B7FFN7	44	60.301	BASE
A0A3G5ACP1	1498	81.18	BASE
A0A8K1V6E6	83	82.36	BASE
A0A7S9XH69	5485	84.696	BASE
A0A8S5LWK7	346	81.107	BASE
Q5IZK2	857	83.203	BASE
A0A167RPC0	472	75.224	BASE
A0A8S5L3Y1	254	86.335	BASE
U5Y6Y0	2195	79.616	BASE
A0A0K1Y7P8	2845	60.52	BASE
A0A481ZDK3	64	76.532	BASE
I6S2X0	3239	58.346	BASE
A0A8S5VP20	384	49.458	BASE
A0A6G6XQA6	2691	86.286	BASE
F5B3R2	5760	81.509	BASE
A0A8D4GMK5	391	59.575	BASE
G5CS20	2515	42.572	BASE
A0A516M7C3	4546	76.528	BASE
A0A6G6XXL5	41	35.155	BASE
P0DOQ3	1572	85.87	BASE
A0A2H4KIR4	7574	85.368	BASE
A0A8S5VSV1	897	82.326	BASE
E9LLB5	2211	71.236	BASE
A0A1B1IPN6	3879	85.795	BASE
A0A6G5P4E3	833	86.427	BASE
A0A6J5MSX7	2104	63.524	BASE
A0A6J5P093	3778	59.696	BASE
A0A6J5KZT0	3788	62.167	BASE
A0A1V0SFZ2	142	54.163	BASE
A0A6G5YAY5	1699	82.888	BASE
A0A1V0SLI9	515	73.353	BASE
A0A3G5AEI1	4656	81.623	BASE
A0A068QL54	137	81.737	BASE
M1HLM6	1621	68.237	BASE
A0A8S5TRK5	165	85.751	BASE
A0A8S5R5Q0	42	57.389	BASE
A0A6J7WEE2	3121	67.433	BASE
A0A3G5AJB0	101	48.636	BASE
A0A6J5L2P1	8376	79.563	BASE
B1N0V0	90	37.293	BASE
A0A3G5AK97	204	45.432	BASE
A0A650D809	67	63.425	BASE
A0A5B8XDN0	593	82.308	BASE
A0A8S5NAQ3	1390	79.201	BASE
A0A8K1XGX6	76	70.251	BASE
A0A6G5Y0C8	88	52.517	BASE
A0A6J5T0S1	278	85.904	BASE
A0A6J5NMT2	505	78.872	BASE
A0A513QAS4	170	81.448	BASE
A0A3S7HIR8	2405	76.014	BASE
A0A219XZC1	130	67.932	BASE
M1IPN2	274	76.228	BASE
A0A1V0SJ38	3782	82.425	BASE
A0A1W6JS15	4947	59.272	BASE
A0A386KPK1	191	67.514	BASE
A0A0D3R1P1	71	64.964	BASE
A0A6J5PTZ7	202	59.933	BASE
Q04395	517	79.832	BASE
A0A6J5MY30	356	79.467	BASE
R9S7J4	9983	53.559	BASE
A6N259	4088	89.203	BASE
A0A6B9J3F9	337	52.962	BASE
A0A6J5LH69	473	78.359	BASE
A0A6J5KY94	115	83.127	BASE
A0A2P0XJ31	187	76.223	BASE
A0A516LLX4	69	41.919	BASE
A0A3G4ZVB6	8977	87.731	BASE
A0A2P1GN17	437	54.976	BASE
S0A0W2	3072	40.331	BASE
A0A6J5T861	2262	90.221	BASE
A0A5B8IF31	528	51.614	BASE
A0A1V0SIJ8	166	80.659	BASE
A0A6H0X3Z9	3796	78.742	BASE
A0A7T8C426	1927	94.282	BASE
A0A6J5P933	6266	70.698	BASE
A0A1B1XB04	855	68.537	BASE
A0A8S5TUC8	173	39.41	BASE
A0A3G5AE29	6214	89.875	BASE
A0A7D3UJT1	103	61.524	BASE
A0A3G5AJU6	263	69.711	BASE
A0A516L4P3	442	86.049	BASE
A0A889IW10	61	69.948	BASE
A0A6J5LIU3	231	44.009	BASE
A0A8S5RV49	10425	73.618	BASE
